Current dE:  [1.59872116e-14]
eccentricity:  [0.99214041]
Current dE:  [1.15463195e-14]
eccentricity:  [0.92853018]
It took 1.5799379348754883 time to finish the job.
epoch0    loss = tensor(4.2698, grad_fn=<AddBackward0>)
epoch1    loss = tensor(3.6663, grad_fn=<AddBackward0>)
epoch2    loss = tensor(3.3962, grad_fn=<AddBackward0>)
epoch3    loss = tensor(3.5780, grad_fn=<AddBackward0>)
epoch4    loss = tensor(3.9222, grad_fn=<AddBackward0>)
epoch5    loss = tensor(3.0088, grad_fn=<AddBackward0>)
epoch6    loss = tensor(3.4642, grad_fn=<AddBackward0>)
epoch7    loss = tensor(2.7031, grad_fn=<AddBackward0>)
epoch8    loss = tensor(2.4671, grad_fn=<AddBackward0>)
epoch9    loss = tensor(2.7584, grad_fn=<AddBackward0>)
epoch10    loss = tensor(2.5272, grad_fn=<AddBackward0>)
epoch11    loss = tensor(2.9554, grad_fn=<AddBackward0>)
epoch12    loss = tensor(2.3593, grad_fn=<AddBackward0>)
epoch13    loss = tensor(2.4435, grad_fn=<AddBackward0>)
epoch14    loss = tensor(2.4052, grad_fn=<AddBackward0>)
epoch15    loss = tensor(2.0415, grad_fn=<AddBackward0>)
epoch16    loss = tensor(2.6214, grad_fn=<AddBackward0>)
epoch17    loss = tensor(2.1170, grad_fn=<AddBackward0>)
epoch18    loss = tensor(2.4814, grad_fn=<AddBackward0>)
epoch19    loss = tensor(2.0299, grad_fn=<AddBackward0>)
epoch20    loss = tensor(2.1461, grad_fn=<AddBackward0>)
epoch21    loss = tensor(1.8786, grad_fn=<AddBackward0>)
epoch22    loss = tensor(2.2680, grad_fn=<AddBackward0>)
epoch23    loss = tensor(2.4597, grad_fn=<AddBackward0>)
epoch24    loss = tensor(2.6561, grad_fn=<AddBackward0>)
epoch25    loss = tensor(1.8814, grad_fn=<AddBackward0>)
epoch26    loss = tensor(1.9380, grad_fn=<AddBackward0>)
epoch27    loss = tensor(2.2063, grad_fn=<AddBackward0>)
epoch28    loss = tensor(2.1388, grad_fn=<AddBackward0>)
epoch29    loss = tensor(2.4025, grad_fn=<AddBackward0>)
epoch30    loss = tensor(1.6813, grad_fn=<AddBackward0>)
epoch31    loss = tensor(1.8281, grad_fn=<AddBackward0>)
epoch32    loss = tensor(1.9331, grad_fn=<AddBackward0>)
epoch33    loss = tensor(1.9606, grad_fn=<AddBackward0>)
epoch34    loss = tensor(2.4309, grad_fn=<AddBackward0>)
epoch35    loss = tensor(1.7104, grad_fn=<AddBackward0>)
epoch36    loss = tensor(2.9914, grad_fn=<AddBackward0>)
epoch37    loss = tensor(2.3546, grad_fn=<AddBackward0>)
epoch38    loss = tensor(2.3765, grad_fn=<AddBackward0>)
epoch39    loss = tensor(2.2490, grad_fn=<AddBackward0>)
epoch40    loss = tensor(2.0363, grad_fn=<AddBackward0>)
epoch41    loss = tensor(1.8435, grad_fn=<AddBackward0>)
epoch42    loss = tensor(2.3292, grad_fn=<AddBackward0>)
epoch43    loss = tensor(1.4060, grad_fn=<AddBackward0>)
epoch44    loss = tensor(1.8454, grad_fn=<AddBackward0>)
epoch45    loss = tensor(2.2762, grad_fn=<AddBackward0>)
epoch46    loss = tensor(1.7943, grad_fn=<AddBackward0>)
epoch47    loss = tensor(2.1501, grad_fn=<AddBackward0>)
epoch48    loss = tensor(1.9100, grad_fn=<AddBackward0>)
epoch49    loss = tensor(1.8152, grad_fn=<AddBackward0>)
epoch50    loss = tensor(1.7090, grad_fn=<AddBackward0>)
epoch51    loss = tensor(1.7533, grad_fn=<AddBackward0>)
epoch52    loss = tensor(1.4537, grad_fn=<AddBackward0>)
epoch53    loss = tensor(1.7841, grad_fn=<AddBackward0>)
epoch54    loss = tensor(1.9588, grad_fn=<AddBackward0>)
epoch55    loss = tensor(1.8592, grad_fn=<AddBackward0>)
epoch56    loss = tensor(2.4366, grad_fn=<AddBackward0>)
epoch57    loss = tensor(1.6757, grad_fn=<AddBackward0>)
epoch58    loss = tensor(3.1541, grad_fn=<AddBackward0>)
epoch59    loss = tensor(1.4378, grad_fn=<AddBackward0>)
epoch60    loss = tensor(1.4850, grad_fn=<AddBackward0>)
epoch61    loss = tensor(1.5436, grad_fn=<AddBackward0>)
epoch62    loss = tensor(1.8590, grad_fn=<AddBackward0>)
epoch63    loss = tensor(1.6591, grad_fn=<AddBackward0>)
epoch64    loss = tensor(1.9871, grad_fn=<AddBackward0>)
epoch65    loss = tensor(1.9884, grad_fn=<AddBackward0>)
epoch66    loss = tensor(2.7565, grad_fn=<AddBackward0>)
epoch67    loss = tensor(1.6944, grad_fn=<AddBackward0>)
epoch68    loss = tensor(1.8601, grad_fn=<AddBackward0>)
epoch69    loss = tensor(1.5199, grad_fn=<AddBackward0>)
epoch70    loss = tensor(1.3668, grad_fn=<AddBackward0>)
epoch71    loss = tensor(1.7069, grad_fn=<AddBackward0>)
epoch72    loss = tensor(1.5923, grad_fn=<AddBackward0>)
epoch73    loss = tensor(1.3935, grad_fn=<AddBackward0>)
epoch74    loss = tensor(1.1736, grad_fn=<AddBackward0>)
epoch75    loss = tensor(1.2826, grad_fn=<AddBackward0>)
epoch76    loss = tensor(1.2016, grad_fn=<AddBackward0>)
epoch77    loss = tensor(1.4076, grad_fn=<AddBackward0>)
epoch78    loss = tensor(2.0451, grad_fn=<AddBackward0>)
epoch79    loss = tensor(1.2833, grad_fn=<AddBackward0>)
epoch80    loss = tensor(1.2050, grad_fn=<AddBackward0>)
epoch81    loss = tensor(1.2241, grad_fn=<AddBackward0>)
epoch82    loss = tensor(1.3219, grad_fn=<AddBackward0>)
epoch83    loss = tensor(1.2533, grad_fn=<AddBackward0>)
epoch84    loss = tensor(1.3653, grad_fn=<AddBackward0>)
epoch85    loss = tensor(1.3527, grad_fn=<AddBackward0>)
epoch86    loss = tensor(1.2280, grad_fn=<AddBackward0>)
epoch87    loss = tensor(1.1869, grad_fn=<AddBackward0>)
epoch88    loss = tensor(1.0403, grad_fn=<AddBackward0>)
epoch89    loss = tensor(1.2512, grad_fn=<AddBackward0>)
epoch90    loss = tensor(1.4800, grad_fn=<AddBackward0>)
epoch91    loss = tensor(1.1061, grad_fn=<AddBackward0>)
epoch92    loss = tensor(1.0577, grad_fn=<AddBackward0>)
epoch93    loss = tensor(1.3937, grad_fn=<AddBackward0>)
epoch94    loss = tensor(1.5323, grad_fn=<AddBackward0>)
epoch95    loss = tensor(1.3422, grad_fn=<AddBackward0>)
epoch96    loss = tensor(1.0213, grad_fn=<AddBackward0>)
epoch97    loss = tensor(1.3828, grad_fn=<AddBackward0>)
epoch98    loss = tensor(1.1428, grad_fn=<AddBackward0>)
epoch99    loss = tensor(1.6394, grad_fn=<AddBackward0>)
