Current dE:  [1.59872116e-14]
eccentricity:  [0.99214041]
Current dE:  [1.15463195e-14]
eccentricity:  [0.92853018]
It took 1.550638198852539 time to finish the job.
epoch0    loss = tensor(5.4073, grad_fn=<AddBackward0>)
epoch1    loss = tensor(4.5455, grad_fn=<AddBackward0>)
epoch2    loss = tensor(3.9999, grad_fn=<AddBackward0>)
epoch3    loss = tensor(3.8505, grad_fn=<AddBackward0>)
epoch4    loss = tensor(3.9943, grad_fn=<AddBackward0>)
epoch5    loss = tensor(4.4531, grad_fn=<AddBackward0>)
epoch6    loss = tensor(3.3884, grad_fn=<AddBackward0>)
epoch7    loss = tensor(3.4265, grad_fn=<AddBackward0>)
epoch8    loss = tensor(3.4157, grad_fn=<AddBackward0>)
epoch9    loss = tensor(3.1113, grad_fn=<AddBackward0>)
epoch10    loss = tensor(3.9239, grad_fn=<AddBackward0>)
epoch11    loss = tensor(3.1338, grad_fn=<AddBackward0>)
epoch12    loss = tensor(3.2108, grad_fn=<AddBackward0>)
epoch13    loss = tensor(2.6219, grad_fn=<AddBackward0>)
epoch14    loss = tensor(3.5926, grad_fn=<AddBackward0>)
epoch15    loss = tensor(3.1505, grad_fn=<AddBackward0>)
epoch16    loss = tensor(2.9965, grad_fn=<AddBackward0>)
epoch17    loss = tensor(3.1424, grad_fn=<AddBackward0>)
epoch18    loss = tensor(2.4136, grad_fn=<AddBackward0>)
epoch19    loss = tensor(2.8332, grad_fn=<AddBackward0>)
epoch20    loss = tensor(3.0254, grad_fn=<AddBackward0>)
epoch21    loss = tensor(3.0163, grad_fn=<AddBackward0>)
epoch22    loss = tensor(2.6277, grad_fn=<AddBackward0>)
epoch23    loss = tensor(2.7673, grad_fn=<AddBackward0>)
epoch24    loss = tensor(2.5370, grad_fn=<AddBackward0>)
epoch25    loss = tensor(2.4649, grad_fn=<AddBackward0>)
epoch26    loss = tensor(2.3617, grad_fn=<AddBackward0>)
epoch27    loss = tensor(2.2880, grad_fn=<AddBackward0>)
epoch28    loss = tensor(2.2946, grad_fn=<AddBackward0>)
epoch29    loss = tensor(2.6518, grad_fn=<AddBackward0>)
epoch30    loss = tensor(2.5870, grad_fn=<AddBackward0>)
epoch31    loss = tensor(2.6001, grad_fn=<AddBackward0>)
epoch32    loss = tensor(2.1269, grad_fn=<AddBackward0>)
epoch33    loss = tensor(2.3852, grad_fn=<AddBackward0>)
epoch34    loss = tensor(2.3012, grad_fn=<AddBackward0>)
epoch35    loss = tensor(2.5920, grad_fn=<AddBackward0>)
epoch36    loss = tensor(2.6456, grad_fn=<AddBackward0>)
epoch37    loss = tensor(1.9897, grad_fn=<AddBackward0>)
epoch38    loss = tensor(2.7077, grad_fn=<AddBackward0>)
epoch39    loss = tensor(2.9603, grad_fn=<AddBackward0>)
epoch40    loss = tensor(2.0537, grad_fn=<AddBackward0>)
epoch41    loss = tensor(2.3572, grad_fn=<AddBackward0>)
epoch42    loss = tensor(2.0798, grad_fn=<AddBackward0>)
epoch43    loss = tensor(2.0313, grad_fn=<AddBackward0>)
epoch44    loss = tensor(2.1877, grad_fn=<AddBackward0>)
epoch45    loss = tensor(2.6432, grad_fn=<AddBackward0>)
epoch46    loss = tensor(1.9801, grad_fn=<AddBackward0>)
epoch47    loss = tensor(2.4993, grad_fn=<AddBackward0>)
epoch48    loss = tensor(2.0103, grad_fn=<AddBackward0>)
epoch49    loss = tensor(2.0973, grad_fn=<AddBackward0>)
epoch50    loss = tensor(2.2267, grad_fn=<AddBackward0>)
epoch51    loss = tensor(2.0151, grad_fn=<AddBackward0>)
epoch52    loss = tensor(2.2931, grad_fn=<AddBackward0>)
epoch53    loss = tensor(2.1463, grad_fn=<AddBackward0>)
epoch54    loss = tensor(2.4257, grad_fn=<AddBackward0>)
epoch55    loss = tensor(1.9922, grad_fn=<AddBackward0>)
epoch56    loss = tensor(2.3783, grad_fn=<AddBackward0>)
epoch57    loss = tensor(2.4582, grad_fn=<AddBackward0>)
epoch58    loss = tensor(1.9881, grad_fn=<AddBackward0>)
epoch59    loss = tensor(1.8247, grad_fn=<AddBackward0>)
epoch60    loss = tensor(2.4897, grad_fn=<AddBackward0>)
epoch61    loss = tensor(1.9882, grad_fn=<AddBackward0>)
epoch62    loss = tensor(2.3291, grad_fn=<AddBackward0>)
epoch63    loss = tensor(2.1592, grad_fn=<AddBackward0>)
epoch64    loss = tensor(2.1778, grad_fn=<AddBackward0>)
epoch65    loss = tensor(1.8115, grad_fn=<AddBackward0>)
epoch66    loss = tensor(2.3851, grad_fn=<AddBackward0>)
epoch67    loss = tensor(1.6531, grad_fn=<AddBackward0>)
epoch68    loss = tensor(2.6437, grad_fn=<AddBackward0>)
epoch69    loss = tensor(1.9274, grad_fn=<AddBackward0>)
epoch70    loss = tensor(2.3595, grad_fn=<AddBackward0>)
epoch71    loss = tensor(1.9381, grad_fn=<AddBackward0>)
epoch72    loss = tensor(1.7838, grad_fn=<AddBackward0>)
epoch73    loss = tensor(2.3484, grad_fn=<AddBackward0>)
epoch74    loss = tensor(2.2243, grad_fn=<AddBackward0>)
epoch75    loss = tensor(2.0809, grad_fn=<AddBackward0>)
epoch76    loss = tensor(1.4369, grad_fn=<AddBackward0>)
epoch77    loss = tensor(1.9040, grad_fn=<AddBackward0>)
epoch78    loss = tensor(1.6505, grad_fn=<AddBackward0>)
epoch79    loss = tensor(2.0039, grad_fn=<AddBackward0>)
epoch80    loss = tensor(1.6144, grad_fn=<AddBackward0>)
epoch81    loss = tensor(1.5325, grad_fn=<AddBackward0>)
epoch82    loss = tensor(1.5644, grad_fn=<AddBackward0>)
epoch83    loss = tensor(1.4849, grad_fn=<AddBackward0>)
epoch84    loss = tensor(1.7623, grad_fn=<AddBackward0>)
epoch85    loss = tensor(1.5849, grad_fn=<AddBackward0>)
epoch86    loss = tensor(2.4024, grad_fn=<AddBackward0>)
epoch87    loss = tensor(1.4502, grad_fn=<AddBackward0>)
epoch88    loss = tensor(1.5562, grad_fn=<AddBackward0>)
epoch89    loss = tensor(1.4197, grad_fn=<AddBackward0>)
epoch90    loss = tensor(2.7014, grad_fn=<AddBackward0>)
epoch91    loss = tensor(1.4715, grad_fn=<AddBackward0>)
epoch92    loss = tensor(2.4915, grad_fn=<AddBackward0>)
epoch93    loss = tensor(2.0088, grad_fn=<AddBackward0>)
epoch94    loss = tensor(1.4743, grad_fn=<AddBackward0>)
epoch95    loss = tensor(2.0452, grad_fn=<AddBackward0>)
epoch96    loss = tensor(2.2667, grad_fn=<AddBackward0>)
epoch97    loss = tensor(1.6648, grad_fn=<AddBackward0>)
epoch98    loss = tensor(1.5912, grad_fn=<AddBackward0>)
epoch99    loss = tensor(1.3080, grad_fn=<AddBackward0>)
