Current dE:  [1.59872116e-14]
eccentricity:  [0.99214041]
Current dE:  [1.15463195e-14]
eccentricity:  [0.92853018]
It took 1.5889267921447754 time to finish the job.
epoch0    loss = tensor(3.9623, grad_fn=<AddBackward0>)
epoch1    loss = tensor(3.5213, grad_fn=<AddBackward0>)
epoch2    loss = tensor(3.3127, grad_fn=<AddBackward0>)
epoch3    loss = tensor(3.4728, grad_fn=<AddBackward0>)
epoch4    loss = tensor(3.1398, grad_fn=<AddBackward0>)
epoch5    loss = tensor(3.3381, grad_fn=<AddBackward0>)
epoch6    loss = tensor(2.9998, grad_fn=<AddBackward0>)
epoch7    loss = tensor(2.9054, grad_fn=<AddBackward0>)
epoch8    loss = tensor(2.8497, grad_fn=<AddBackward0>)
epoch9    loss = tensor(2.9106, grad_fn=<AddBackward0>)
epoch10    loss = tensor(2.6358, grad_fn=<AddBackward0>)
epoch11    loss = tensor(2.2324, grad_fn=<AddBackward0>)
epoch12    loss = tensor(2.3015, grad_fn=<AddBackward0>)
epoch13    loss = tensor(2.4459, grad_fn=<AddBackward0>)
epoch14    loss = tensor(2.6653, grad_fn=<AddBackward0>)
epoch15    loss = tensor(2.3459, grad_fn=<AddBackward0>)
epoch16    loss = tensor(2.4854, grad_fn=<AddBackward0>)
epoch17    loss = tensor(2.5548, grad_fn=<AddBackward0>)
epoch18    loss = tensor(2.1203, grad_fn=<AddBackward0>)
epoch19    loss = tensor(2.6093, grad_fn=<AddBackward0>)
epoch20    loss = tensor(2.1485, grad_fn=<AddBackward0>)
epoch21    loss = tensor(2.1110, grad_fn=<AddBackward0>)
epoch22    loss = tensor(2.0595, grad_fn=<AddBackward0>)
epoch23    loss = tensor(2.2143, grad_fn=<AddBackward0>)
epoch24    loss = tensor(2.2391, grad_fn=<AddBackward0>)
epoch25    loss = tensor(2.4114, grad_fn=<AddBackward0>)
epoch26    loss = tensor(2.6051, grad_fn=<AddBackward0>)
epoch27    loss = tensor(2.0691, grad_fn=<AddBackward0>)
epoch28    loss = tensor(2.0682, grad_fn=<AddBackward0>)
epoch29    loss = tensor(1.9024, grad_fn=<AddBackward0>)
epoch30    loss = tensor(1.7796, grad_fn=<AddBackward0>)
epoch31    loss = tensor(2.0401, grad_fn=<AddBackward0>)
epoch32    loss = tensor(2.8945, grad_fn=<AddBackward0>)
epoch33    loss = tensor(1.7339, grad_fn=<AddBackward0>)
epoch34    loss = tensor(1.9799, grad_fn=<AddBackward0>)
epoch35    loss = tensor(2.0608, grad_fn=<AddBackward0>)
epoch36    loss = tensor(1.6144, grad_fn=<AddBackward0>)
epoch37    loss = tensor(2.3753, grad_fn=<AddBackward0>)
epoch38    loss = tensor(2.1565, grad_fn=<AddBackward0>)
epoch39    loss = tensor(1.9655, grad_fn=<AddBackward0>)
epoch40    loss = tensor(1.8130, grad_fn=<AddBackward0>)
epoch41    loss = tensor(1.8909, grad_fn=<AddBackward0>)
epoch42    loss = tensor(2.4431, grad_fn=<AddBackward0>)
epoch43    loss = tensor(1.6917, grad_fn=<AddBackward0>)
epoch44    loss = tensor(2.1666, grad_fn=<AddBackward0>)
epoch45    loss = tensor(1.8251, grad_fn=<AddBackward0>)
epoch46    loss = tensor(2.1921, grad_fn=<AddBackward0>)
epoch47    loss = tensor(1.9985, grad_fn=<AddBackward0>)
epoch48    loss = tensor(1.7560, grad_fn=<AddBackward0>)
