Current dE:  [1.59872116e-14]
eccentricity:  [0.99214041]
Current dE:  [1.15463195e-14]
eccentricity:  [0.92853018]
It took 1.5646400451660156 time to finish the job.
epoch0    loss = tensor(4.9841, grad_fn=<AddBackward0>)
epoch1    loss = tensor(4.5228, grad_fn=<AddBackward0>)
epoch2    loss = tensor(4.2233, grad_fn=<AddBackward0>)
epoch3    loss = tensor(4.0633, grad_fn=<AddBackward0>)
epoch4    loss = tensor(4.3155, grad_fn=<AddBackward0>)
epoch5    loss = tensor(3.9817, grad_fn=<AddBackward0>)
epoch6    loss = tensor(3.7787, grad_fn=<AddBackward0>)
epoch7    loss = tensor(3.4340, grad_fn=<AddBackward0>)
epoch8    loss = tensor(3.6598, grad_fn=<AddBackward0>)
epoch9    loss = tensor(3.2633, grad_fn=<AddBackward0>)
epoch10    loss = tensor(3.6851, grad_fn=<AddBackward0>)
epoch11    loss = tensor(3.2283, grad_fn=<AddBackward0>)
epoch12    loss = tensor(3.4048, grad_fn=<AddBackward0>)
epoch13    loss = tensor(2.7715, grad_fn=<AddBackward0>)
epoch14    loss = tensor(3.1066, grad_fn=<AddBackward0>)
epoch15    loss = tensor(2.9505, grad_fn=<AddBackward0>)
epoch16    loss = tensor(3.2187, grad_fn=<AddBackward0>)
epoch17    loss = tensor(3.2711, grad_fn=<AddBackward0>)
epoch18    loss = tensor(3.0614, grad_fn=<AddBackward0>)
epoch19    loss = tensor(2.9608, grad_fn=<AddBackward0>)
epoch20    loss = tensor(3.1216, grad_fn=<AddBackward0>)
epoch21    loss = tensor(2.5500, grad_fn=<AddBackward0>)
epoch22    loss = tensor(3.0824, grad_fn=<AddBackward0>)
epoch23    loss = tensor(2.8642, grad_fn=<AddBackward0>)
epoch24    loss = tensor(2.8188, grad_fn=<AddBackward0>)
epoch25    loss = tensor(3.1990, grad_fn=<AddBackward0>)
epoch26    loss = tensor(2.7593, grad_fn=<AddBackward0>)
epoch27    loss = tensor(2.9475, grad_fn=<AddBackward0>)
epoch28    loss = tensor(2.7981, grad_fn=<AddBackward0>)
epoch29    loss = tensor(3.1294, grad_fn=<AddBackward0>)
epoch30    loss = tensor(2.3847, grad_fn=<AddBackward0>)
epoch31    loss = tensor(2.8942, grad_fn=<AddBackward0>)
epoch32    loss = tensor(2.9836, grad_fn=<AddBackward0>)
epoch33    loss = tensor(2.6329, grad_fn=<AddBackward0>)
epoch34    loss = tensor(3.0241, grad_fn=<AddBackward0>)
epoch35    loss = tensor(2.7446, grad_fn=<AddBackward0>)
epoch36    loss = tensor(2.2873, grad_fn=<AddBackward0>)
epoch37    loss = tensor(2.9528, grad_fn=<AddBackward0>)
epoch38    loss = tensor(2.5352, grad_fn=<AddBackward0>)
epoch39    loss = tensor(2.7323, grad_fn=<AddBackward0>)
epoch40    loss = tensor(2.3012, grad_fn=<AddBackward0>)
epoch41    loss = tensor(2.5451, grad_fn=<AddBackward0>)
