Current dE:  [1.59872116e-14]
eccentricity:  [0.99214041]
Current dE:  [1.15463195e-14]
eccentricity:  [0.92853018]
It took 1.560426950454712 time to finish the job.
epoch0    loss = tensor(4.9786, grad_fn=<AddBackward0>)
epoch1    loss = tensor(4.2086, grad_fn=<AddBackward0>)
epoch2    loss = tensor(3.9772, grad_fn=<AddBackward0>)
epoch3    loss = tensor(4.4392, grad_fn=<AddBackward0>)
epoch4    loss = tensor(3.7250, grad_fn=<AddBackward0>)
epoch5    loss = tensor(3.6770, grad_fn=<AddBackward0>)
epoch6    loss = tensor(3.8867, grad_fn=<AddBackward0>)
epoch7    loss = tensor(4.3026, grad_fn=<AddBackward0>)
epoch8    loss = tensor(3.4263, grad_fn=<AddBackward0>)
epoch9    loss = tensor(3.1612, grad_fn=<AddBackward0>)
epoch10    loss = tensor(3.2964, grad_fn=<AddBackward0>)
epoch11    loss = tensor(3.2100, grad_fn=<AddBackward0>)
epoch12    loss = tensor(3.0769, grad_fn=<AddBackward0>)
epoch13    loss = tensor(3.3867, grad_fn=<AddBackward0>)
epoch14    loss = tensor(3.2755, grad_fn=<AddBackward0>)
epoch15    loss = tensor(3.2723, grad_fn=<AddBackward0>)
epoch16    loss = tensor(3.1677, grad_fn=<AddBackward0>)
epoch17    loss = tensor(2.7518, grad_fn=<AddBackward0>)
epoch18    loss = tensor(2.8414, grad_fn=<AddBackward0>)
epoch19    loss = tensor(3.2092, grad_fn=<AddBackward0>)
epoch20    loss = tensor(2.9179, grad_fn=<AddBackward0>)
epoch21    loss = tensor(3.2169, grad_fn=<AddBackward0>)
epoch22    loss = tensor(2.6703, grad_fn=<AddBackward0>)
epoch23    loss = tensor(2.9590, grad_fn=<AddBackward0>)
epoch24    loss = tensor(2.9130, grad_fn=<AddBackward0>)
epoch25    loss = tensor(2.6655, grad_fn=<AddBackward0>)
epoch26    loss = tensor(2.7967, grad_fn=<AddBackward0>)
epoch27    loss = tensor(3.0590, grad_fn=<AddBackward0>)
epoch28    loss = tensor(3.4802, grad_fn=<AddBackward0>)
epoch29    loss = tensor(2.9755, grad_fn=<AddBackward0>)
epoch30    loss = tensor(2.3590, grad_fn=<AddBackward0>)
epoch31    loss = tensor(2.3048, grad_fn=<AddBackward0>)
epoch32    loss = tensor(2.8418, grad_fn=<AddBackward0>)
epoch33    loss = tensor(2.7590, grad_fn=<AddBackward0>)
epoch34    loss = tensor(2.8930, grad_fn=<AddBackward0>)
epoch35    loss = tensor(2.5004, grad_fn=<AddBackward0>)
epoch36    loss = tensor(2.1389, grad_fn=<AddBackward0>)
epoch37    loss = tensor(2.4330, grad_fn=<AddBackward0>)
epoch38    loss = tensor(2.5196, grad_fn=<AddBackward0>)
epoch39    loss = tensor(2.6784, grad_fn=<AddBackward0>)
epoch40    loss = tensor(2.7106, grad_fn=<AddBackward0>)
epoch41    loss = tensor(2.6073, grad_fn=<AddBackward0>)
epoch42    loss = tensor(2.4798, grad_fn=<AddBackward0>)
epoch43    loss = tensor(2.3991, grad_fn=<AddBackward0>)
epoch44    loss = tensor(2.5097, grad_fn=<AddBackward0>)
epoch45    loss = tensor(2.3609, grad_fn=<AddBackward0>)
epoch46    loss = tensor(2.1750, grad_fn=<AddBackward0>)
epoch47    loss = tensor(2.8713, grad_fn=<AddBackward0>)
epoch48    loss = tensor(2.5007, grad_fn=<AddBackward0>)
epoch49    loss = tensor(2.4601, grad_fn=<AddBackward0>)
epoch50    loss = tensor(2.0535, grad_fn=<AddBackward0>)
